"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2025-12-01","14:30:00",6819.55,"60 Dec 3 6755 P STO 8.90 | 60 Dec 3 6880 C STO 4.80 | 60 Dec 5 6755 P BTO 18.30 | 60 Dec 5 6880 C BTO 13.35",-1805,6821.74,"2025-12-03","09:45:00",-1910,"Exited at Specified Time",5724,60,2750064.2,108300,"",288,288,0.433,0.15,-36.79,7.25,11.91,-2.49
"2025-11-24","14:30:00",6703.83,"95 Nov 26 6620 P STO 11.70 | 95 Nov 26 6780 C STO 5.10 | 95 Nov 28 6620 P BTO 17.80 | 95 Nov 28 6780 C BTO 10.40",-1150,6795.8,"2025-11-26","09:32:00",-1055,"Below Delta",-9937,95,2744340.2,109250,"",456,456,0.596,0.7,33.55,67.29,4.78,-13.48
"2025-11-17","14:30:00",6674.78,"31 Nov 19 6575 P STO 13.50 | 31 Nov 19 6770 C STO 7.10 | 31 Nov 21 6575 P BTO 31.40 | 31 Nov 21 6770 C BTO 23.40",-3430,6647.14,"2025-11-19","09:45:00",-3985,"Exited at Specified Time",16907.4,31,2754277.2,106330,"",148.8,148.8,0.376,0.097,-20.5,-38.83,24.49,-1.17
"2025-11-10","14:30:00",6827.56,"58 Nov 12 6765 P STO 9.00 | 58 Nov 12 6890 C STO 4.20 | 58 Nov 14 6765 P BTO 18.80 | 58 Nov 14 6890 C BTO 12.95",-1865,6861.58,"2025-11-12","09:45:00",-1965,"Exited at Specified Time",5243.2,58,2737369.8,108170,"",278.4,278.4,0.416,0.141,56.56,42.2,10.46,-10.46
"2025-11-03","14:30:00",6853.71,"59 Nov 5 6790 P STO 8.70 | 59 Nov 5 6915 C STO 4.00 | 59 Nov 7 6790 P BTO 17.85 | 59 Nov 7 6915 C BTO 13.30",-1855,6765.65,"2025-11-05","09:45:00",-1680,"Exited at Specified Time",-10891.4,59,2732126.6,109445,"",283.2,283.2,0.408,0.656,42.12,-28.61,2.16,-15.36
"2025-10-27","14:30:00",6861.24,"39 Oct 29 6805 P STO 8.20 | 39 Oct 29 6915 C STO 3.95 | 39 Oct 31 6805 P BTO 21.60 | 39 Oct 31 6915 C BTO 17.60",-2715,6915.73,"2025-10-29","09:45:00",-3835,"Exited at Specified Time",43305.6,39,2743018,105885,"",187.2,187.2,0.31,0.326,53.77,15.78,41.62,0
"2025-10-20","14:30:00",6740.52,"46 Oct 22 6675 P STO 9.00 | 46 Oct 22 6795 C STO 3.90 | 46 Oct 24 6675 P BTO 20.30 | 46 Oct 24 6795 C BTO 15.80",-2330,6740.42,"2025-10-22","09:45:00",-1825,"Exited at Specified Time",-23671.6,46,2699712.4,107180,"",220.8,220.8,0.357,0.105,26.04,50.47,3.22,-25.11
"2025-10-13","14:30:00",6662.89,"55 Oct 15 6590 P STO 10.20 | 55 Oct 15 6730 C STO 4.85 | 55 Oct 17 6590 P BTO 20.20 | 55 Oct 17 6730 C BTO 14.15",-1940,6693.47,"2025-10-15","09:45:00",-2485,"Exited at Specified Time",29447,55,2723384,106700,"",264,264,0.438,0.146,70.02,40.36,29.38,-6.7
"2025-10-06","14:30:00",6746.81,"65 Oct 8 6695 P STO 6.55 | 65 Oct 8 6790 C STO 3.55 | 65 Oct 10 6695 P BTO 14.20 | 65 Oct 10 6790 C BTO 12.30",-1650,6720.98,"2025-10-08","09:45:00",-1580,"Exited at Specified Time",-5174,65,2693937,107250,"",312,312,0.381,0.203,18.07,12.95,6.06,-10.91
"2025-09-29","14:30:00",6660.44,"69 Oct 1 6610 P STO 7.40 | 69 Oct 1 6715 C STO 3.35 | 69 Oct 3 6610 P BTO 15.20 | 69 Oct 3 6715 C BTO 10.80",-1535,6678.08,"2025-10-01","09:45:00",-1775,"Exited at Specified Time",15897.6,69,2699111,105915,"",331.2,331.2,0.413,0.112,17.88,-1.14,22.8,-11.73
"2025-09-22","14:30:00",6692.43,"63 Sep 24 6645 P STO 6.60 | 63 Sep 24 6735 C STO 3.50 | 63 Sep 26 6645 P BTO 14.50 | 63 Sep 26 6735 C BTO 12.30",-1680,6661.11,"2025-09-24","09:45:00",-1620,"Exited at Specified Time",-4384.8,63,2683213.4,105840,"",302.4,302.4,0.377,0.227,-10.08,38.15,8.63,-15.48
"2025-09-15","14:30:00",6607.23,"63 Sep 17 6540 P STO 8.65 | 63 Sep 17 6670 C STO 4.05 | 63 Sep 19 6540 P BTO 17.10 | 63 Sep 19 6670 C BTO 12.15",-1665,6605.56,"2025-09-17","09:45:00",-2260,"Exited at Specified Time",36880.2,63,2687598.2,104895,"",302.4,302.4,0.434,0.22,19.2,3.74,36.34,-1.8
"2025-09-08","14:30:00",6493.94,"57 Sep 10 6445 P STO 6.25 | 57 Sep 10 6540 C STO 3.20 | 57 Sep 12 6445 P BTO 15.35 | 57 Sep 12 6540 C BTO 12.30",-1830,6544.2,"2025-09-10","09:45:00",-1895,"Exited at Specified Time",3157.8,57,2650718,104310,"",273.6,273.6,0.342,0.386,16.59,-4.15,14.48,-2.19
"2025-08-25","14:30:00",6455.73,"47 Aug 27 6415 P STO 5.45 | 47 Aug 27 6500 C STO 2.60 | 47 Aug 29 6415 P BTO 16.35 | 47 Aug 29 6500 C BTO 13.60",-2200,6467.9,"2025-08-27","09:45:00",-2610,"Exited at Specified Time",18818.8,47,2647560.2,103400,"",225.6,225.6,0.269,0.039,-9.24,-1.94,26.59,-0.45
"2025-08-18","14:30:00",6443.28,"48 Aug 20 6400 P STO 5.90 | 48 Aug 20 6490 C STO 3.05 | 48 Aug 22 6400 P BTO 17.20 | 48 Aug 22 6490 C BTO 13.30",-2165,6395.36,"2025-08-20","09:45:00",-2040,"Exited at Specified Time",-6460.8,48,2628741.4,103920,"",230.4,230.4,0.293,0.401,-4.78,-1.74,6.7,-6.7
"2025-08-11","14:30:00",6382.8,"73 Aug 13 6320 P STO 8.80 | 73 Aug 13 6450 C STO 4.30 | 73 Aug 15 6320 P BTO 16.80 | 73 Aug 15 6450 C BTO 10.60",-1440,6468.67,"2025-08-13","09:32:00",-1470,"Below Delta",1489.2,73,2635202.2,105120,"",350.4,350.4,0.478,0.599,0.22,-6.87,15.97,-7.29
"2025-08-04","14:30:00",6319.29,"58 Aug 6 6260 P STO 8.35 | 58 Aug 6 6375 C STO 4.25 | 58 Aug 8 6260 P BTO 17.80 | 58 Aug 8 6375 C BTO 12.80",-1810,6309.23,"2025-08-06","09:45:00",-1735,"Exited at Specified Time",-4906.8,58,2633713,104980,"",278.4,278.4,0.412,0.114,33.7,47.58,14.64,-3.59
"2025-07-28","14:30:00",6380.08,"41 Jul 30 6330 P STO 7.00 | 41 Jul 30 6435 C STO 4.20 | 41 Aug 1 6330 P BTO 19.80 | 41 Aug 1 6435 C BTO 16.60",-2530,6380.5,"2025-07-30","09:45:00",-2635,"Exited at Specified Time",3911.4,41,2638619.8,103730,"",196.8,196.8,0.308,0.097,9.05,-17.61,5.53,-13.44
"2025-07-21","14:30:00",6332.44,"65 Jul 23 6290 P STO 6.25 | 65 Jul 23 6375 C STO 3.20 | 65 Jul 25 6290 P BTO 13.90 | 65 Jul 25 6375 C BTO 11.55",-1610,6327.52,"2025-07-23","09:45:00",-1475,"Exited at Specified Time",-9399,65,2634708.4,104650,"",312,312,0.371,0.105,7.95,27.7,2.48,-12.42
"2025-07-14","14:30:00",6271.25,"69 Jul 16 6215 P STO 7.25 | 69 Jul 16 6325 C STO 4.35 | 69 Jul 18 6215 P BTO 14.70 | 69 Jul 18 6325 C BTO 12.10",-1530,6252.68,"2025-07-16","09:45:00",-1490,"Exited at Specified Time",-3422.4,69,2644107.4,105570,"",331.2,331.2,0.433,0.133,-4.6,16.1,12.75,-4.58
"2025-07-07","14:30:00",6201.65,"61 Jul 9 6130 P STO 9.20 | 61 Jul 9 6275 C STO 5.10 | 61 Jul 11 6130 P BTO 18.15 | 61 Jul 11 6275 C BTO 13.40",-1735,6263.24,"2025-07-09","09:45:00",-1495,"Exited at Specified Time",-15225.6,61,2647529.8,105835,"",292.8,292.8,0.453,0.255,-20.31,-57.39,6.92,-30.26
"2025-06-23","14:30:00",6007.59,"61 Jun 25 5935 P STO 9.40 | 61 Jun 25 6070 C STO 4.70 | 61 Jun 27 5935 P BTO 17.90 | 61 Jun 27 6070 C BTO 13.40",-1730,6088.45,"2025-06-24","12:27:00",-1635,"Below Delta",-6380.6,61,2662755.4,105530,"",292.8,292.8,0.45,0.654,1.83,37.92,13.58,-9.25
"2025-06-16","14:30:00",6032.39,"71 Jun 18 5965 P STO 9.50 | 71 Jun 18 6100 C STO 4.70 | 71 Jun 20 5965 P BTO 17.50 | 71 Jun 20 6100 C BTO 11.30",-1470,5987.99,"2025-06-18","09:45:00",-2245,"Exited at Specified Time",54343.4,71,2669136,104370,"",340.8,340.8,0.493,0.32,27.03,28.39,59.86,-3.74
"2025-06-09","14:30:00",6019.43,"76 Jun 11 5955 P STO 8.60 | 76 Jun 11 6090 C STO 5.00 | 76 Jun 13 5955 P BTO 15.50 | 76 Jun 13 6090 C BTO 11.60",-1360,6041.47,"2025-06-11","09:45:00",-1405,"Exited at Specified Time",2690.4,76,2614792.6,103360,"",364.8,364.8,0.502,0.099,4.27,14.8,13.24,-1.1
"2025-06-02","14:30:00",5925.29,"42 Jun 4 5860 P STO 9.25 | 42 Jun 4 5995 C STO 4.95 | 42 Jun 6 5860 P BTO 22.00 | 42 Jun 6 5995 C BTO 16.50",-2440,5984.81,"2025-06-04","09:45:00",-2765,"Exited at Specified Time",13246.8,42,2612102.2,102480,"",201.6,201.6,0.369,0.228,-15.01,28.61,21.72,-1.64
"2025-05-19","14:30:00",5950.43,"55 May 21 5885 P STO 9.20 | 55 May 21 6020 C STO 4.85 | 55 May 23 5885 P BTO 18.90 | 55 May 23 6020 C BTO 13.80",-1875,5910.88,"2025-05-21","09:45:00",-1925,"Exited at Specified Time",2222,55,2598855.4,103125,"",264,264,0.43,0.259,-55.5,47.55,5.07,-12.8
